File name,"ground_truth_values (x,y,width,height)"
dart0.jpg,"{{112,163,145,150}}"
dart1.jpg,"{}"
dart2.jpg,"{}"
dart3.jpg,"{}"
dart4.jpg,"{{345,103,140,160}}"
dart5.jpg,"{}"
dart6.jpg,"{{283,98,41,58}}"
dart7.jpg,"{{354,185,94,95}}"
dart8.jpg,"{{159,281,73,66}}"
dart9.jpg,"{{92,197,123,140}}"
dart10.jpg,"{}"
dart11.jpg,"{{329,79,52,60}}"
dart12.jpg,"{}"
dart13.jpg,"{{425,125,109,119}}"
dart14.jpg,"{{466,211,87,111},{728,194,100,98}}"
dart15.jpg,"{{69,134,58,76},{538,125,70,85},{374,108,52,86}}"
