File name,"ground_truth_values (x,y,width,height)"
dart0.jpg, "{{421,0,207,222}}"
dart1.jpg, "{{162,100,260,258}}"
dart2.jpg, "{{87,83,120,117}}"
dart3.jpg, "{{308,135,94,100}}"
dart4.jpg, "{{147,58,227,265}}"
dart5.jpg, "{{411,122,143,147}}"
dart6.jpg, "{{200,105,85,89}}"
dart7.jpg, "{{228,145,174,195}}"
dart8.jpg, "{{57,237,81,120},{823,198,156,163}}"
dart9.jpg, "{{163,10,305,312}}"
dart10.jpg, "{{70,86,132,148},{573,117,75,110},{909,139,48,86}}"
dart11.jpg, "{{161,90,85,91}}"
dart12.jpg, "{{147,54,83,185}}"
dart13.jpg, "{{249,97,177,180}}"
dart14.jpg, "{{98,80,170,169},{965,73,168,170}}"
dart15.jpg, "{{123,31,186,189}}"
